实例规格,vCPU,内存（GiB）,网络带宽基础/突发（Gbit/s）,网络收发包PPS,连接数,多队列,弹性网卡,单网卡私有IPv4地址数,单网卡IPv6地址数,云盘IOPS基础/突发,云盘带宽基础/突发（Gbit/s）
ecs.c8i.large,2,4,2.5/最高15,100万,最高30万,2,3,6,6,2.5万/最高20万,2/最高10
ecs.c8i.xlarge,4,8,4/最高15,120万,最高30万,4,4,15,15,5万/最高20万,2.5/最高10
ecs.c8i.2xlarge,8,16,6/最高15,160万,最高30万,8,4,15,15,6万/最高20万,4/最高10
ecs.c8i.3xlarge,12,24,10/最高15,240万,最高30万,12,8,15,15,8万/最高20万,5/最高10
ecs.c8i.4xlarge,16,32,12/最高25,300万,35万,16,8,30,30,10万/最高20万,6/最高10
ecs.c8i.6xlarge,24,48,15/最高25,450万,50万,24,8,30,30,12万/最高20万,7.5/最高10
ecs.c8i.8xlarge,32,64,20/最高25,600万,80万,32,8,30,30,20万/无,10/无
ecs.c8i.12xlarge,48,96,25/无,900万,100万,48,8,30,30,30万/无,12/无
ecs.c8i.16xlarge,64,128,32/无,1200万,160万,64,8,30,30,36万/无,20/无
ecs.c8i.24xlarge,96,192,50/无,1800万,200万,64,15,30,30,50万/无,24/无
ecs.c8i.48xlarge,192,512,100/无,3000万,400万,64,15,50,50,100万/无,48/无
