套餐类型名,vCPU(个),内存容量(GB),"数据盘容量(GB,本地SSD)",PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个)
S4.1A,1,1,-,25,1.5,2,1,6
S4.1B,1,2,-,25,1.5,2,1,6
S4.1C,1,4,-,25,1.5,2,1,6
S4.1D,1,8,-,25,1.5,2,1,6
S4.2A,2,2,-,30,1.5,2,2,6
S4.2B,2,4,-,30,1.5,2,2,6
S4.2C,2,8,-,30,1.5,2,2,6
S4.2D,2,16,-,30,1.5,2,2,6
S4.4A,4,4,-,50,2.0,2,4,6
S4.4B,4,8,-,50,2.0,2,4,6
S4.4C,4,16,-,50,2.0,2,4,6
S4.4D,4,32,-,50,2.0,2,4,6
S4.8A,8,8,-,85,3.0,2,8,10
S4.8B,8,16,-,85,3.0,2,8,10
S4.8C,8,32,-,85,3.0,2,8,10
S4.8D,8,64,-,85,3.0,2,8,10
S4.12B,12,24,-,85,3.0,2,12,15
S4.12C,12,48,-,85,3.0,2,12,15
S4.16A,16,16,-,100,6.0,2,16,20
S4.16B,16,32,-,100,6.0,2,16,20
S4.16C,16,64,-,100,6.0,2,16,20
S4.16D,16,128,-,100,6.0,2,16,20
S4.24B,24,48,-,100,6.0,3,16,20
S4.24C,24,96,-,100,6.0,3,16,20
S4.32B,32,64,-,150,10.0,5,16,20
S4.32C,32,128,-,150,10.0,5,16,20
