套餐类型名,vCPU(个),内存容量(GB),"数据盘容量(GB,本地SSD)",PPS(万),内网吞吐量(Gbps),弹性网卡数(个),网卡队列数(个),单网卡私有IP(个)
C5.2B,2,4,-,30,1.5,3,2,6
C5.2C,2,8,-,30,1.5,3,2,6
C5.4B,4,8,-,50,2.0,3,4,6
C5.4C,4,16,-,50,2.0,3,4,6
C5.8B,8,16,-,80,3.0,4,8,10
C5.8C,8,32,-,80,3.0,4,8,10
C5.12B,12,24,-,110,4.0,6,12,15
C5.12C,12,48,-,110,4.0,6,12,15
C5.16B,16,32,-,150,6.0,8,16,20
C5.16C,16,64,-,150,6.0,8,16,20
C5.24B,24,48,-,200,8.0,8,16,20
C5.24C,24,96,-,200,8.0,8,16,20
C5.32B,32,64,-,250,10.0,8,16,20
C5.32C,32,128,-,250,10.0,8,16,20
C5.64B,64,128,-,500,20.0,8,16,20
C5.64C,64,256,-,500,20.0,8,16,20
